"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск по имени/email фильтрует список сотрудников","2981","Поиск сотрудника в модалке выбора","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2736","Создание и удаление персонального лимита","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2739","Открытие окна подтверждения удаления и отмена удаления (открытие из карточки юр лица)","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2743","Проверка сроков поставки","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2740","Добавление и удаление дочернего подразделения","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","5855","Назначение ролей пользователю в подразделении","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"Тест-кейс: Отменить удаление — количество складов не меняется","2736","Отмена удаления склада","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2741","Путь пользователя от авторизации до создания заказа","tests","2026-08-12","broken","2026-08-12","","test_users","",""
"","2739","Отображение экшн меню адреса в настройках аккаунта","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2746","Проверка изменения списка юридических лиц при переключении подразделения","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2742","Обязательность всех полей","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2750","Копирование реквизитов ИНН/КПП из карточки юр. лица","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2740","Открытие окна редактирования юр. лица (открытие из карточки юр лица)","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","0","Блокировка заказа при превышении лимита на цену товара при переключении подразделения","tests","2026-08-12","skipped","2026-08-12","","test_cart","",""
"","2743","Автозаполнение адреса по подсказке","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2744","Открытие карточки любого пользователя","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2742","Обязательность всех полей для нового пользователя","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2741","Блокировка заказа при превышении лимита на цену товара","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2745","Проверка работы блока «Лимиты на закупку»","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2741","Управление чекбоксами 'Включить в заказ'","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2741","Ручной ввод количества товара","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2743","Нельзя отправить товар который дороже разрешённого лимита","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2746","Проверка переключения подразделений","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2739","Авторизация","tests","2026-08-12","broken","2026-08-12","","test_autorization","",""
"","2741","Редактирование названия компании","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2742","Редактирование юридического лица","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2740","Редактирование склада через экшн-меню","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2747","Округление копеек в листинге через настройку в Контрактах","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2745","Нет лимита цены подразделения - берётся лимит компании","tests","2026-08-12","broken","2026-08-12","","test_limits","",""
"","2740","Создание и удаление нового подразделения с заполнением всех полей","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2741","Установка основного адреса доставки","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2737","Создание нового склада и его удаление","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2739","Подразделение приоритетнее компании (лимит подразделения меньше компании)","tests","2026-08-12","broken","2026-08-12","","test_limits","",""
"","2742","Подразделение приоритетнее компании (подразделение мягче)","tests","2026-08-12","broken","2026-08-12","","test_limits","",""
"Поиск на странице фильтрует список пользователей с лимитами","2739","Поиск пользователя с лимитом на странице","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2742","Поиск товара в окне быстрого добавления","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"Отмена удаления не удаляет лимит","2742","Отмена удаления персонального лимита","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2739","Невадидный e-mail","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2740","Переход по вкладкам страницы настроек","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2746","Открытие окна добавления нового адреса","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","0","Проверка работы лимита расходов на закупку","tests","2026-08-12","skipped","2026-08-12","","test_subdivisions","",""
"","2743","Увеличение и уменьшение количества через кнопки +/-","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2738","Редактирование склада с автозаполнением адреса","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2741","Создание нового адреса доставки","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2746","Открытие окна нового подразделения","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2744","Подтверждение добаления пользователя который есть в другом подразделениии","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"Проверяю, что страница персональных лимитов открывается корректно","2765","Открытие страницы персональных лимитов","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2736","Редактирование адреса доставки","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2741","Открытие окна редактирования пользователя из подразделения","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2743","Отображение экшн-меню склада","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2744","Создание нового и удаление юридического лица","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2740","Открытие окна нового пользователя","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2747","Оба типа лимитов превышены — отображается только плашка цены на товар","tests","2026-08-12","broken","2026-08-12","","test_limits","",""
"","2742","Открытие окна подтверждения удаления склада через экшн-меню","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2743","Редактирование настроек подразделения","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2737","Поиск адреса через автозаполнение","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"Нажатие '+ Установить новый' открывает модалку выбора сотрудника","2741","Открытие и отмена модалки выбора сотрудника","tests","2026-08-12","broken","2026-08-12","","test_settings","",""
"","2754","Открытие окна подтверждения удаления адреса через кнопку Удалить","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
"","2741","Открытие окна подтверждения удаления товара и отмена","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2748","Только лимит подразделения на сумму заказа — блокировка и разблокировка","tests","2026-08-12","broken","2026-08-12","","test_limits","",""
"","2744","Корректность расчета стоимости с НДС","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2745","Кнопка 'Выделить весь товар' в шапке корзины","tests","2026-08-12","broken","2026-08-12","","test_cart","",""
"","2742","Обязательность поля Название при создании подразделения","tests","2026-08-12","broken","2026-08-12","","test_subdivisions","",""
